,Coin 0,Coin 1,Coin 2,Coin 3
3107,86.03396606--127.20816040,53.68675232--56.49039078,65.18836212--83.75232697,83.61875916--92.87570190
3108,85.83049011--126.93157959,51.32654190--56.87591934,65.85865021--83.58016205,83.22940063--93.03876495
3109,85.62900543--126.55657959,48.83746719--57.25099564,66.61534119--83.23475647,82.91729736--93.21266174
3110,85.40493774--126.08398438,46.30717850--57.60406113,67.44506836--82.74065399,82.71915436--93.39482117
3111,85.12557220--125.55123138,43.85910416--57.95697403,68.37532043--82.15132141,82.73344421--93.59255981
3112,84.89107513--124.94356537,41.66843796--58.22627258,69.25554657--81.60117340,82.79957581--93.75485992
3113,84.64307404--124.24803925,40.86352539--58.15980148,69.72451019--81.14704895,83.12017822--93.79634857
3114,84.62834167--123.58111572,41.49143219--57.78741455,69.78637695--80.69580078,83.62832642--93.75906372
3115,84.81874084--123.05921936,43.48590469--57.17202377,69.43929291--80.22315216,84.32319641--93.67622375
3116,85.19882202--122.82051086,46.92959213--56.33874130,68.63390350--79.81320190,85.19041443--93.56697083
3117,85.78682709--122.94932556,50.22653580--55.72340012,67.85382080--79.30100250,86.00257874--93.57218170
3118,86.39540100--123.34519196,52.83193588--55.39342880,67.19993591--79.01898956,86.61162567--93.57905579
3119,86.79900360--123.75691986,54.95287704--55.18803787,66.65174866--78.81960297,87.13658905--93.59477234
3120,87.05523682--124.11311340,56.66169357--55.02628708,66.22464752--78.67317963,87.55696869--93.63397980
3121,87.22442627--124.44873810,58.01608658--54.87660599,65.85276031--78.67014313,87.79296875--93.64314270
3122,87.31820679--124.77090454,59.16599655--54.74191666,65.49328613--78.78597260,87.93649292--93.62768555
3123,87.37385559--125.07164001,60.00284576--54.67905426,65.19181824--78.94913483,87.98321533--93.59402466
3124,87.38963318--125.34618378,60.66121292--54.64702988,64.91704559--79.17126465,87.97383118--93.52461243
3125,87.38072205--125.58767700,61.21155548--54.62592697,64.66396332--79.41585541,87.93553162--93.44459534
3126,87.36032104--125.81494141,61.68736649--54.61076736,64.42554474--79.68717194,87.85772705--93.35520935
3127,87.32788086--126.04355621,62.11275101--54.60277176,64.18956757--79.99975586,87.73846436--93.25344086
3128,87.28817749--126.25644684,62.44667053--54.60989761,63.97675323--80.32138824,87.59902954--93.15162659
3129,87.24359131--126.45670319,62.70398331--54.62556076,63.78562927--80.65110016,87.43716431--93.04961395
3130,87.19406891--126.64424896,62.89094162--54.64871597,63.61557388--80.98410034,87.25885010--92.95111084
3131,87.14032745--126.82465363,63.00638199--54.68074417,63.46564865--81.32310486,87.05889893--92.85606384
3132,87.08070374--127.00389099,63.02445602--54.72851562,63.33950424--81.67633820,86.82477570--92.76362610
3133,87.01440430--127.16381073,62.89415741--54.79887390,63.25821686--82.02124786,86.57020569--92.68363190
3134,86.94116974--127.29982758,62.59258270--54.89308929,63.23105240--82.34879303,86.29299164--92.61982727
3135,86.85896301--127.40801239,62.09113693--55.01547623,63.26678467--82.65416718,85.99061584--92.57564545
3136,86.76551819--127.48538971,61.34526443--55.17352295,63.37759399--82.93550110,85.65376282--92.55393982
3137,86.65750122--127.52461243,60.26937485--55.38153839,63.58770752--83.18843842,85.26632690--92.56007385
3138,86.52217865--127.51062012,58.83646011--55.63965988,63.90612793--83.40509033,84.83911133--92.60165405
3139,86.35614014--127.43878174,57.06209183--55.94226074,64.33024597--83.57892609,84.37864685--92.68038940
3140,86.15683746--127.30757904,54.97241592--56.28438568,64.85443115--83.70639801,83.89341736--92.79600525
3141,85.94355774--127.09673309,52.66062927--56.65936661,65.47451019--83.69585419,83.43833160--92.94535065
3142,85.74374390--126.77607727,50.22375107--57.04644394,66.18936157--83.44290924,83.08023071--93.11566162
3143,85.53518677--126.35114288,47.69702530--57.40985489,66.97797394--83.02353668,82.80860901--93.29260254
3144,85.28230286--125.86054230,45.17614746--57.77677155,67.86576843--82.49087524,82.70880127--93.48863220
3145,85.01391602--125.29419708,42.82596588--58.09533310,68.77940369--81.91114807,82.75003052--93.67198181
3146,84.77365875--124.65045929,41.18800735--58.23063660,69.49677277--81.39730835,82.92135620--93.78724670
3147,84.61977386--123.95079041,40.99966812--58.02809143,69.79418182--80.94145966,83.33158875--93.78896332
3148,84.69496155--123.32711792,42.25880051--57.53193283,69.67045593--80.47985077,83.92855835--93.72373962
3149,84.97266388--122.91699982,44.94199753--56.80287170,69.10867310--80.02997589,84.70762634--93.62530518
3150,85.45742798--122.84474945,48.41518784--56.04378891,68.28843689--79.57645416,85.56018829--93.56344604
3151,86.06066132--123.10203552,51.43834305--55.55257797,67.55657959--79.14978790,86.28846741--93.57472229
3152,86.60340881--123.53639984,53.81874084--55.28349686,66.92916107--78.95772552,86.83319855--93.56632233
3153,86.91841888--123.93113708,55.77624893--55.11667252,66.44126892--78.75321198,87.34384155--93.61543274
3154,87.14108276--124.26954651,57.31008148--54.95793533,66.05086517--78.65636444,87.68424988--93.64215088
3155,87.27511597--124.59461212,58.55981827--54.81258011,65.68959808--78.70723724,87.87182617--93.64030457
3156,87.34938049--124.90468597,59.55944443--54.70817184,65.35885620--78.84513092,87.96939087--93.61832428
3157,87.38543701--125.19812775,60.30535889--54.66303635,65.06883240--79.04433441,87.97900391--93.56501770
3158,87.38579559--125.46061707,60.91807938--54.63720703,64.79902649--79.28549957,87.95526886--93.48740387
3159,87.37134552--125.69186401,61.43178177--54.61925507,64.55437469--79.53755951,87.90406799--93.40482330
3160,87.34672546--125.91703033,61.88345337--54.60644150,64.31929779--79.82312775,87.80928040--93.31082153
3161,87.31138611--126.13707733,62.26761627--54.60466385,64.09468842--80.13736725,87.68209076--93.20964050
3162,87.26951599--126.34595490,62.56847000--54.61561966,63.89051056--80.46499634,87.52981567--93.10664368
3163,87.22180176--126.54360199,62.79592514--54.63515472,63.70636749--80.80187988,87.35670471--93.00431824
3164,87.16992188--126.72684479,62.95043564--54.66248703,63.54538345--81.13761139,87.17041016--92.90747070
3165,87.11392975--126.90547180,63.02747345--54.70015335,63.40545654--81.48104858,86.95791626--92.81391144
3166,87.05213928--127.07579041,62.98631287--54.75654221,63.29805756--81.82884979,86.71685791--92.72706604
3167,86.98344421--127.22649384,62.78513718--54.83681107,63.23915863--82.16689301,86.45167542--92.65352631
3168,86.90643311--127.35224915,62.39344406--54.94437027,63.23937225--82.48747253,86.16009521--92.59742737
3169,86.81846619--127.44698334,61.78491211--55.08246994,63.30752563--82.78388977,85.84281158--92.56294250
3170,86.71844482--127.50830841,60.90462875--55.26053619,63.45879745--83.05388641,85.48581696--92.55291748
3171,86.59991455--127.52511597,59.68278885--55.48891068,63.71376419--83.29055023,85.08306885--92.57397461
3172,86.45328522--127.48636627,58.09970474--55.76705933,64.07915497--83.48722076,84.64079285--92.63159180
3173,86.27400208--127.38755035,56.16952133--56.09015656,64.55244446--83.63876343,84.16587067--92.72729492
3174,86.05834961--127.22820282,53.93534470--56.45077896,65.12346649--83.74413300,83.67093658--92.85985565
3175,85.85233307--126.96451569,51.58182907--56.83479309,65.78454590--83.60411835,83.26786804--93.02067566
3176,85.65084839--126.60054779,49.10195160--57.21268463,66.53304291--83.27764130,82.94620514--93.19408417
3177,85.43305969--126.13212585,46.57901001--57.56031418,67.34643555--82.79373932,82.72654724--93.37190247
3178,85.15740967--125.61483002,44.11148453--57.92434692,68.27609253--82.21994781,82.72579956--93.57376099
3179,84.91482544--125.01485443,41.88670731--58.20422745,69.16438293--81.66145325,82.78952026--93.74059296
3180,84.66835022--124.32908630,40.91264725--58.17847443,69.68450928--81.19264984,83.08168793--93.79729462
3181,84.62630463--123.65211487,41.37283707--57.83957291,69.79582214--80.73885345,83.57008362--93.76637268
3182,84.79176331--123.10669708,43.23615646--57.24165344,69.48805237--80.27236176,84.24571228--93.68388367
3183,85.15291595--122.83420563,46.53810501--56.42747116,68.72827148--79.85377502,85.09696960--93.57801819
3184,85.72361755--122.92558289,49.88666534--55.78115463,67.93573761--79.35295105,85.91965485--93.56965637
3185,86.33374023--123.29918671,52.58262253--55.42042160,67.26355743--79.04357147,86.55287170--93.57846069
3186,86.76541138--123.71683502,54.75649261--55.20357513,66.69894409--78.84392548,87.08308411--93.58937073
3187,87.03228760--124.08080292,56.50553513--55.04298019,66.26338196--78.68534088,87.52055359--93.63134003
3188,87.21069336--124.41518402,57.88737869--54.89178848,65.89011383--78.66388702,87.77580261--93.64389801
3189,87.31143188--124.73764801,59.05643082--54.75401688,65.53007507--78.76887512,87.92642975--93.63070679
3190,87.37005615--125.04095459,59.92308044--54.68382263,65.22264862--78.92877960,87.98125458--93.59909058
3191,87.38908386--125.31981659,60.59843826--54.64957428,64.94416809--79.14823914,87.97490692--93.53205872
3192,87.38174438--125.56483459,61.15907288--54.62800217,64.68832397--79.39173126,87.93974304--93.45262909
3193,87.36264801--125.79166412,61.63997269--54.61240768,64.44983673--79.65790558,87.86772156--93.36492920
3194,87.33175659--126.01945496,62.07062149--54.60319138,64.21408844--79.96527863,87.75286865--93.26455688
3195,87.29272461--126.23417664,62.41460800--54.60863113,63.99861145--80.28630066,87.61512756--93.16260529
3196,87.24846649--126.43671417,62.68062973--54.62351608,63.80445480--80.61684418,87.45431519--93.06001282
3197,87.19921112--126.62602234,62.87469482--54.64614487,63.63183212--80.95068359,87.27708435--92.96076965
3198,87.14591980--126.80620575,62.99734497--54.67713547,63.48023224--81.28804779,87.08064270--92.86569214
3199,87.08712769--126.98531342,63.02815628--54.72260666,63.35118103--81.63913727,86.85090637--92.77301788
3200,87.02178192--127.14765167,62.91579056--54.79022980,63.26451874--81.98502350,86.59856415--92.69151306
3201,86.94937134--127.28693390,62.63288498--54.88199997,63.23117065--82.31534576,86.32287598--92.62562561
3202,86.86802673--127.39842987,62.15158463--55.00172424,63.26027679--82.62387848,86.02244568--92.57917786
3203,86.77551270--127.47889709,61.43393326--55.15550995,63.36247635--82.90793610,85.69020844--92.55506897
3204,86.66929626--127.52263641,60.39852524--55.35728073,63.56052780--83.16407013,85.30906677--92.55794525
3205,86.53770447--127.51476288,59.00576401--55.60988617,63.86697006--83.38436127,84.88629150--92.59548950
3206,86.37561798--127.44908142,57.26381302--55.90861130,64.28108978--83.56227875,84.42840576--92.67035675
3207,86.17967987--127.32369232,55.20095062--56.24757004,64.79644012--83.69441986,83.94450378--92.78244019
3208,85.96397400--127.12410736,52.89923477--56.62005997,65.40702057--83.71272278,83.47846222--92.92894745
3209,85.76365662--126.81398010,50.48180771--57.00708389,66.11105347--83.47792816,83.11331177--93.09759521
3210,85.55710602--126.40106964,47.96259689--57.37371445,66.89256287--83.07587433,82.83197021--93.27407837
3211,85.31117249--125.91471100,45.43677139--57.73826981,67.76767731--82.55149078,82.70928955--93.46745300
3212,85.03917694--125.35506439,43.06113815--58.06489182,68.68675232--81.96576691,82.74597168--93.65437317
3213,84.80114746--124.72009277,41.27869797--58.23482895,69.44703674--81.44255829,82.88978577--93.78179932
3214,84.62210083--124.01894379,40.94224930--58.06404114,69.78571320--80.98816681,83.27918243--93.79187012
3215,84.67585754--123.38232422,42.05291748--57.59571457,69.70595551--80.52950287,83.85513306--93.73252106
3216,84.93283081--122.94336700,44.58006668--56.89110184,69.19309998--80.07401276,84.61560059--93.63697052
3217,85.39429474--122.83235931,48.07658768--56.10719681,68.36723328--79.63329315,85.47543335--93.56221008
3218,85.99543762--123.06005096,51.17074585--55.58532333,67.62333679--79.17800903,86.22599792--93.57357788
3219,86.55844116--123.49123383,53.60159683--55.30636978,66.99011230--78.97030640,86.78417969--93.56988525
3220,86.89289856--123.89118195,55.59552765--55.13230515,66.48828125--78.76587677,87.29929352--93.61146545
3221,87.12316895--124.23313141,57.16611862--54.97322464,66.09068298--78.65671539,87.65818787--93.64112854
3222,87.26476288--124.56089020,58.43716049--54.82732773,65.72733307--78.69644165,87.85496521--93.64135742
3223,87.34272766--124.87400818,59.47476578--54.71453094,65.38869476--78.83063507,87.96377563--93.62075806
3224,87.38348389--125.16945648,60.23933792--54.66610336,65.09652710--79.02141571,87.98088074--93.57226562
3225,87.38708496--125.43479919,60.86133575--54.63919830,64.82568359--79.25875092,87.96028137--93.49616241
3226,87.37378693--125.66783905,61.38229370--54.62066269,64.57955170--79.50852203,87.91238403--93.41432190
3227,87.35017395--125.89328766,61.83903503--54.60727310,64.34391785--79.79067993,87.82131958--93.32136536
3228,87.31533051--126.11584473,62.23383331--54.60388565,64.11607361--80.10549164,87.69541931--93.21971130
3229,87.27389526--126.32567596,62.54218292--54.61408234,63.90983200--80.43195343,87.54608154--93.11695099
3230,87.22690582--126.52388763,62.77636719--54.63277054,63.72410202--80.76723480,87.37551880--93.01463318
3231,87.17558289--126.70781708,62.93822098--54.65910339,63.56119537--81.10193634,87.19141388--92.91751099
3232,87.12019348--126.88675690,63.02471542--54.69530106,63.41890335--81.44412994,86.98205566--92.82363129
3233,87.05889893--127.05962372,62.99807358--54.74962234,63.30673218--81.79381561,86.74210358--92.73524475
3234,86.99071503--127.21260071,62.81345749--54.82764435,63.24248886--82.13380432,86.47925568--92.66011047
3235,86.91456604--127.34079742,62.44305420--54.93204880,63.23620987--82.45615387,86.19104767--92.60218048
3236,86.82795715--127.43859100,61.86050797--55.06628036,63.29659271--82.75453186,85.87763977--92.56542969
3237,86.72960663--127.50376892,61.01331711--55.23937607,63.43797302--83.02710724,85.52571869--92.55259705
3238,86.61389160--127.52599335,59.82474518--55.46323776,63.68272781--83.26750946,85.12608337--92.57009888
3239,86.46980286--127.49298859,58.27483749--55.73705673,64.03762817--83.46898651,84.68690491--92.62405396
3240,86.29344177--127.40039825,56.37963104--56.05557251,64.49974823--83.62590027,84.21501160--92.71588135
3241,86.08138275--127.24762726,54.17907333--56.41180420,65.05969238--83.73670197,83.72218323--92.84451294
3242,85.87356567--126.99666595,51.83498383--56.79390717,65.71115112--83.62760925,83.30644989--93.00283813
3243,85.67267609--126.64301300,49.36318588--57.17458344,66.45228577--83.31850433,82.97581482--93.17581177
3244,85.45920563--126.18114471,46.84080124--57.52172470,67.25563049--82.84620667,82.73936462--93.35157776
3245,85.18762970--125.67445374,44.35477066--57.89211273,68.18112183--82.28461456,82.71944427--93.55493164
3246,84.93740845--125.08222198,42.09679794--58.18194962,69.07666016--81.72010040,82.77869415--93.72589111
3247,84.69181824--124.40627289,40.96158600--58.19514084,69.64489746--81.23950958,83.04250336--93.79694366
3248,84.62318420--123.72142792,41.26578903--57.88821793,69.80163574--80.78444672,83.51277161--93.77287292
3249,84.76629639--123.15504456,42.99913406--57.30965042,69.53333282--80.32123566,84.17102051--93.69231415
3250,85.10943604--122.85005951,46.16299057--56.51404953,68.81819153--79.89386749,85.00691223--93.58897400
3251,85.66250610--122.90423584,49.55048752--55.83970261,68.01686096--79.40313721,85.83812714--93.56786346
3252,86.27253723--123.25342560,52.32703781--55.44914627,67.32934570--79.06679535,86.49374390--93.57788086
3253,86.73086548--123.67559814,54.55121613--55.21992493,66.74850464--78.86853790,87.02730560--93.58348083
3254,87.00794220--124.04764557,56.34494400--55.05961227,66.30287170--78.69919586,87.48229980--93.62814331
3255,87.19594574--124.38199615,57.75859070--54.90667343,65.92672729--78.66001129,87.75702667--93.64405823
3256,87.30404663--124.70481873,58.94655991--54.76644516,65.56630707--78.75315094,87.91566467--93.63345337
3257,87.36605835--125.00993347,59.84212112--54.68891144,65.25373077--78.90839386,87.97944641--93.60411835
